timestamp,date_GMT,status,attendance,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1502477100,Aug 11 2017 - 6:45pm,complete,59387,Arsenal,Leicester City,2.47,1.05,4,3,7,4,2,2,"2,45'2,83,85","5,29,56",9,4,0,0,1,0,17,4,7,2,10,2,9,12,67,33,3.76,61,92,74,48,40,55,79,11.74,3.31,1.38,5.19,8.92,0,0,0,0,0,0,Emirates Stadium (London)
1502537400,Aug 12 2017 - 11:30am,complete,20407,Watford,Liverpool,1.42,1.68,3,3,6,3,2,1,"8,32,90'3","29,55,57",3,3,0,0,3,0,5,10,3,3,2,7,12,8,50,50,3.29,61,79,69,42,32,53,82,10.10,3.84,5.75,4.15,1.63,0,0,0,0,0,0,Vicarage Road Stadium (Watford)
1502546400,Aug 12 2017 - 2:00pm,complete,41616,Chelsea,Burnley,1.95,1.47,2,3,5,3,0,3,"69,88","24,39,43",8,5,4,2,3,0,18,6,11,3,7,3,16,11,61,39,2.32,42,63,42,21,14,29,58,11.63,3.37,1.21,7.04,9.99,0,0,0,0,0,0,Stamford Bridge (London)
1502546400,Aug 12 2017 - 2:00pm,complete,25448,Crystal Palace,Huddersfield Town,1.37,0.74,0,3,3,2,0,2,"","23,26,78",12,9,1,0,3,0,11,7,4,5,7,2,7,19,53,47,2.66,42,82,50,27,16,29,61,8.85,4.05,1.82,3.61,4.91,0,0,0,0,0,0,Selhurst Park (London)
1502546400,Aug 12 2017 - 2:00pm,complete,39045,Everton,Stoke City,1.79,0.68,1,0,1,1,1,0,"45'1","",6,7,1,0,1,0,7,7,4,3,3,4,13,10,54,46,2.71,53,74,50,27,14,29,55,7.21,3.26,1.74,3.96,4.94,0,0,0,0,0,0,Goodison Park (Liverpool)
1502546400,Aug 12 2017 - 2:00pm,complete,31447,Southampton,Swansea City,1.00,0.63,0,0,0,0,0,0,"","",13,0,2,0,1,0,22,3,8,0,14,3,10,13,62,38,2.34,50,68,37,24,19,29,69,9.47,3.06,1.75,3.82,5.06,0,0,0,0,0,0,St. Mary's Stadium (Southampton- Hampshire)
1502546400,Aug 12 2017 - 2:00pm,complete,25011,West Bromwich Albion,AFC Bournemouth,0.95,0.95,1,0,1,1,1,0,"31","",8,2,3,0,1,0,14,6,5,3,9,3,15,3,35,65,2.63,58,74,58,32,11,35,63,10.74,3.10,2.3,3.37,3.35,0,0,0,0,0,0,The Hawthorns (West Bromwich)
1502555400,Aug 12 2017 - 4:30pm,complete,30415,Brighton & Hove Albion,Manchester City,1.53,2.63,0,2,2,0,0,0,"","70,75",3,10,0,0,2,0,5,9,3,4,2,5,6,8,30,70,2.82,53,77,50,37,16,45,66,12.42,3.89,8.09,4.98,1.42,0,0,0,0,0,0,The American Express Community Stadium (Falmer- East Sussex)
1502627400,Aug 13 2017 - 12:30pm,complete,52077,Newcastle United,Tottenham Hotspur,1.47,1.79,0,2,2,0,0,0,"","61,70",5,7,1,1,2,0,5,9,3,8,2,1,7,9,34,66,2.42,43,71,45,19,11,37,63,9.79,3.16,4.79,3.84,1.78,0,0,0,0,0,0,St. James' Park (Newcastle upon Tyne)
1502636400,Aug 13 2017 - 3:00pm,complete,74928,Manchester United,West Ham United,2.47,0.79,4,0,4,1,1,0,"33,52,87,90","",11,1,2,0,2,0,11,5,5,2,6,3,19,7,56,44,2.97,48,82,61,40,19,40,76,9.74,3.74,1.28,5.76,9.99,0,0,0,0,0,0,Old Trafford (Manchester)
1503142200,Aug 19 2017 - 11:30am,complete,20862,Swansea City,Manchester United,1.11,1.79,0,4,4,1,0,1,"","45,80,82,84",3,5,1,0,1,0,8,9,3,4,5,5,12,11,40,60,2.37,40,61,42,29,11,32,66,10.32,3.21,9.99,5.1,1.38,0,0,0,0,0,0,Liberty Stadium (Swansea)
1503151200,Aug 19 2017 - 2:00pm,complete,10501,AFC Bournemouth,Watford,1.37,0.74,0,2,2,0,0,0,"","73,86",8,5,1,0,3,0,8,14,4,6,4,8,7,11,54,46,2.79,48,79,58,29,14,29,69,10.63,3.11,1.98,3.66,4.13,0,0,0,0,0,0,Vitality Stadium (Bournemouth- Dorset)
1503151200,Aug 19 2017 - 2:00pm,complete,19619,Burnley,West Bromwich Albion,1.37,0.68,0,1,1,0,0,0,"","71",5,5,1,0,0,1,14,7,2,3,12,4,11,11,62,38,1.85,40,56,32,6,0,8,53,8.90,3.53,2.48,3.16,3.33,0,0,0,0,0,0,Turf Moor (Burnley)
1503151200,Aug 19 2017 - 2:00pm,complete,31902,Leicester City,Brighton & Hove Albion,1.42,0.58,2,0,2,1,1,0,"1,54","",6,2,1,0,0,0,8,3,3,3,5,0,8,10,52,48,2.26,40,82,34,16,5,26,74,9.73,2.37,1.83,3.71,4.87,0,0,0,0,0,0,King Power Stadium (Leicester- Leicestershire)
1503151200,Aug 19 2017 - 2:00pm,complete,53138,Liverpool,Crystal Palace,2.26,0.95,1,0,1,0,0,0,"73","",4,2,1,0,3,0,18,4,13,2,5,2,12,12,66,34,2.61,40,71,53,32,16,29,61,12.58,2.69,1.41,5.17,8.55,0,0,0,0,0,0,Anfield (Liverpool)
1503151200,Aug 19 2017 - 2:00pm,complete,31424,Southampton,West Ham United,1.00,0.79,3,2,5,3,2,1,"11,38,90'3","44,73",7,2,1,0,1,1,11,9,5,4,6,5,19,8,64,36,2.95,61,82,53,40,27,35,79,10.16,3.74,1.7,3.93,5.6,0,0,0,0,0,0,St. Mary's Stadium (Southampton- Hampshire)
1503160200,Aug 19 2017 - 4:30pm,complete,29459,Stoke City,Arsenal,1.05,0.84,1,0,1,0,0,0,"47","",2,9,0,0,0,0,6,15,3,9,3,6,6,11,37,63,2.66,61,76,61,27,6,29,66,9.10,3.47,4.94,3.99,1.76,0,0,0,0,0,0,Bet365 Stadium (Stoke-on-Trent- Staffordshire)
1503232200,Aug 20 2017 - 12:30pm,complete,24128,Huddersfield Town,Newcastle United,1.21,0.84,1,0,1,0,0,0,"50","",7,3,3,0,4,0,5,10,3,7,2,3,14,11,51,49,2.35,45,61,42,29,11,32,66,9.79,3.11,2.41,3.3,3.31,0,0,0,0,0,0,The John Smith's Stadium (Huddersfield- West Yorkshire)
1503241200,Aug 20 2017 - 3:00pm,complete,73587,Tottenham Hotspur,Chelsea,2.26,1.74,1,2,3,1,0,1,"82","24,88",14,3,4,0,3,0,14,5,7,2,7,3,14,20,61,39,2.90,50,74,53,35,16,29,69,11.85,2.37,2.04,3.62,3.94,0,0,0,0,0,0,Wembley Stadium (London)
1503342000,Aug 21 2017 - 7:00pm,complete,54009,Manchester City,Everton,2.63,0.79,1,1,2,1,0,1,"82","35",7,1,2,1,3,1,18,6,8,2,10,4,7,7,60,40,3.35,58,87,66,48,24,32,82,10.89,2.89,1.33,5.66,9.99,0,0,0,0,0,0,Etihad Stadium (Manchester)
1503747000,Aug 26 2017 - 11:30am,complete,10419,AFC Bournemouth,Manchester City,1.37,2.63,1,2,3,2,1,1,"13","21,90'7",2,5,5,0,5,1,5,13,5,7,0,6,13,15,32,68,3.00,55,82,63,35,16,43,71,13.73,3.58,9.99,6.08,1.28,0,0,0,0,0,0,Vitality Stadium (Bournemouth- Dorset)
1503756000,Aug 26 2017 - 2:00pm,complete,23477,Crystal Palace,Swansea City,1.37,0.63,0,2,2,1,0,1,"","44,48",1,1,4,0,1,0,18,3,5,2,13,1,9,9,46,54,2.61,50,74,50,29,19,32,71,8.42,3.58,1.94,3.55,4.48,0,0,0,0,0,0,Selhurst Park (London)
1503756000,Aug 26 2017 - 2:00pm,complete,23548,Huddersfield Town,Southampton,1.21,0.89,0,0,0,0,0,0,"","",5,4,0,0,1,0,12,7,8,4,4,3,10,10,54,46,2.32,45,66,42,21,14,37,66,10.74,3.58,3.79,3.38,2.17,0,0,0,0,0,0,The John Smith's Stadium (Huddersfield- West Yorkshire)
1503756000,Aug 26 2017 - 2:00pm,complete,52093,Newcastle United,West Ham United,1.47,0.79,3,0,3,1,1,0,"36,72,86","",7,5,1,0,3,0,12,8,6,4,6,4,17,10,38,62,2.74,48,77,53,29,19,32,71,7.95,3.63,2.34,3.49,3.26,0,0,0,0,0,0,St. James' Park (Newcastle upon Tyne)
1503756000,Aug 26 2017 - 2:00pm,complete,20181,Watford,Brighton & Hove Albion,1.42,0.58,0,0,0,0,0,0,"","",3,11,0,1,1,0,8,11,2,4,6,7,5,19,41,59,2.55,45,74,45,27,16,37,69,8.89,3.37,2.01,3.5,4.2,0,0,0,0,0,0,Vicarage Road Stadium (Watford)
1503765000,Aug 26 2017 - 4:30pm,complete,75021,Manchester United,Leicester City,2.47,1.05,2,0,2,0,0,0,"70,82","",9,3,1,0,2,0,13,11,6,5,7,6,9,6,66,34,3.05,53,79,61,34,21,53,71,10.95,3.42,1.29,5.95,9.99,0,0,0,0,0,0,Old Trafford (Manchester)
1503837000,Aug 27 2017 - 12:30pm,complete,41382,Chelsea,Everton,1.95,0.79,2,0,2,2,2,0,"27,40","",6,3,2,0,2,0,15,7,9,2,6,5,11,7,60,40,2.58,48,74,45,29,14,32,69,11.42,2.79,1.46,4.75,7.98,0,0,0,0,0,0,Stamford Bridge (London)
1503837000,Aug 27 2017 - 12:30pm,complete,22704,West Bromwich Albion,Stoke City,0.95,0.68,1,1,2,0,0,0,"61","77",10,4,2,0,2,0,5,10,3,3,2,7,10,9,48,52,2.71,61,74,53,29,16,29,61,8.27,3.52,2.52,3.15,3.28,0,0,0,0,0,0,The Hawthorns (West Bromwich)
1503846000,Aug 27 2017 - 3:00pm,complete,53206,Liverpool,Arsenal,2.26,0.84,4,0,4,2,2,0,"17,40,57,77","",4,3,2,0,4,0,12,7,8,0,4,7,6,9,53,47,2.79,50,74,58,35,16,29,66,11.94,2.74,2.18,3.69,3.46,0,0,0,0,0,0,Anfield (Liverpool)
1503846000,Aug 27 2017 - 3:00pm,complete,67862,Tottenham Hotspur,Burnley,2.26,1.47,1,1,2,0,0,0,"49","90'2",10,7,0,0,0,0,17,14,11,7,6,7,9,9,68,32,2.58,47,69,40,24,16,24,61,11.37,3.11,1.27,6.14,9.99,0,0,0,0,0,0,Wembley Stadium (London)
1504956600,Sep 9 2017 - 11:30am,complete,54172,Manchester City,Liverpool,2.63,1.68,5,0,5,2,2,0,"24,45'6,53,77,90'1","",8,3,2,0,2,1,9,6,6,5,3,1,9,9,60,40,3.74,58,87,79,55,37,48,87,12.31,2.94,1.96,3.86,3.99,0,0,0,0,0,0,Etihad Stadium (Manchester)
1504965600,Sep 9 2017 - 2:00pm,complete,59262,Arsenal,AFC Bournemouth,2.47,0.95,3,0,3,2,2,0,"6,27,50","",10,3,0,0,1,0,12,6,6,3,6,3,12,9,58,42,3.26,50,85,71,40,24,42,76,12.37,2.68,1.37,5.56,9.03,0,0,0,0,0,0,Emirates Stadium (London)
1504965600,Sep 9 2017 - 2:00pm,complete,30381,Brighton & Hove Albion,West Bromwich Albion,1.53,0.68,3,1,4,1,1,0,"45,48,63","77",2,6,2,0,0,0,6,6,3,3,3,3,9,4,43,57,2.27,48,66,37,24,6,21,53,8.69,4.16,2.65,3.09,3.13,0,0,0,0,0,0,The American Express Community Stadium (Falmer- East Sussex)
1504965600,Sep 9 2017 - 2:00pm,complete,38835,Everton,Tottenham Hotspur,1.79,1.79,0,3,3,2,0,2,"","28,42,46",7,3,3,0,1,0,8,11,4,4,4,7,15,13,51,49,2.74,50,79,50,32,14,40,58,9.68,3.32,3.71,3.48,2.16,0,0,0,0,0,0,Goodison Park (Liverpool)
1504965600,Sep 9 2017 - 2:00pm,complete,31923,Leicester City,Chelsea,1.42,1.74,1,2,3,1,0,1,"62","41,50",2,9,1,0,0,0,4,10,2,5,2,5,11,8,46,54,2.66,53,82,55,27,8,29,79,10.21,2.63,4.71,3.79,1.84,0,0,0,0,0,0,King Power Stadium (Leicester- Leicestershire)
1504965600,Sep 9 2017 - 2:00pm,complete,31435,Southampton,Watford,1.00,0.74,0,2,2,1,0,1,"","38,66",7,4,0,0,0,0,4,7,3,3,1,4,8,11,51,49,2.53,45,71,42,26,19,29,74,11.16,2.90,1.65,3.94,6.18,0,0,0,0,0,0,St. Mary's Stadium (Southampton- Hampshire)
1504974600,Sep 9 2017 - 4:30pm,complete,29320,Stoke City,Manchester United,1.05,1.79,2,2,4,2,1,1,"43,63","45'1,57",5,11,0,0,0,0,8,14,3,6,5,8,8,10,38,62,2.61,50,74,55,29,8,37,66,9.53,3.63,7.8,4.4,1.51,0,0,0,0,0,0,Bet365 Stadium (Stoke-on-Trent- Staffordshire)
1505046600,Sep 10 2017 - 12:30pm,complete,18862,Burnley,Crystal Palace,1.37,0.95,1,0,1,1,1,0,"3","",3,13,1,0,1,0,4,16,2,6,2,10,7,13,38,62,2.03,42,58,40,13,6,19,53,10.48,3.16,2.45,3.2,3.33,0,0,0,0,0,0,Turf Moor (Burnley)
1505055600,Sep 10 2017 - 3:00pm,complete,20872,Swansea City,Newcastle United,1.11,0.84,0,1,1,0,0,0,"","76",7,5,2,0,3,0,14,13,8,10,6,3,11,15,59,41,2.35,45,58,42,29,8,24,66,9.42,2.79,2.35,3.34,3.39,0,0,0,0,0,0,Liberty Stadium (Swansea)
1505156400,Sep 11 2017 - 7:00pm,complete,56977,West Ham United,Huddersfield Town,1.42,0.74,2,0,2,0,0,0,"72,77","",10,3,1,0,2,0,14,5,4,3,10,2,11,13,44,56,2.50,40,82,42,21,16,32,53,8.21,3.84,1.86,3.63,4.81,0,0,0,0,0,0,London Stadium (London)
1505502000,Sep 15 2017 - 7:00pm,complete,10369,AFC Bournemouth,Brighton & Hove Albion,1.37,0.58,2,1,3,0,0,0,"67,73","55",6,4,0,0,0,0,7,7,2,3,5,4,4,12,64,36,2.50,45,79,47,24,8,29,63,9.89,2.74,2.1,3.42,3.81,0,0,0,0,0,0,Vitality Stadium (Bournemouth- Dorset)
1505561400,Sep 16 2017 - 11:30am,complete,24199,Crystal Palace,Southampton,1.37,0.89,0,1,1,1,0,1,"","6",5,5,5,0,1,0,12,9,4,5,8,4,13,13,45,55,2.71,56,74,55,29,19,37,71,10.90,4.05,3.35,3.37,2.3,0,0,0,0,0,0,Selhurst Park (London)
1505570400,Sep 16 2017 - 2:00pm,complete,24169,Huddersfield Town,Leicester City,1.21,1.05,1,1,2,0,0,0,"46","50",8,4,1,0,1,0,10,3,5,0,5,3,5,6,56,44,2.90,56,76,53,32,24,50,71,10.16,3.47,2.97,3.34,2.54,0,0,0,0,0,0,The John Smith's Stadium (Huddersfield- West Yorkshire)
1505570400,Sep 16 2017 - 2:00pm,complete,53231,Liverpool,Burnley,2.26,1.47,1,1,2,2,1,1,"30","27",12,2,1,0,2,0,25,5,12,4,13,1,7,8,69,31,2.55,42,71,50,27,16,27,63,10.89,2.95,1.22,6.77,9.99,0,0,0,0,0,0,Anfield (Liverpool)
1505570400,Sep 16 2017 - 2:00pm,complete,51795,Newcastle United,Stoke City,1.47,0.68,2,1,3,1,1,0,"19,68","57",7,5,3,0,1,0,9,12,5,6,4,6,12,11,41,59,2.40,45,66,45,13,11,26,61,7.32,3.10,2.43,3.33,3.14,0,0,0,0,0,0,St. James' Park (Newcastle upon Tyne)
1505570400,Sep 16 2017 - 2:00pm,complete,20305,Watford,Manchester City,1.42,2.63,0,6,6,3,0,3,"","27,31,37,63,81,89",3,11,2,0,0,0,6,20,0,9,6,11,7,6,32,68,3.05,55,77,61,37,24,50,77,12.73,4.21,9.99,6.03,1.28,0,0,0,0,0,0,Vicarage Road Stadium (Watford)
1505570400,Sep 16 2017 - 2:00pm,complete,24942,West Bromwich Albion,West Ham United,0.95,0.79,0,0,0,0,0,0,"","",2,3,2,0,2,0,5,7,3,2,2,5,15,7,34,66,3.05,63,85,61,45,24,35,71,8.90,4.05,2.35,3.24,3.38,0,0,0,0,0,0,The Hawthorns (West Bromwich)
1505579400,Sep 16 2017 - 4:30pm,complete,65366,Tottenham Hotspur,Swansea City,2.26,0.63,0,0,0,0,0,0,"","",11,1,1,0,3,0,21,4,9,0,12,4,11,9,70,30,2.61,45,71,37,27,19,26,63,10.42,2.64,1.23,6.63,9.99,0,0,0,0,0,0,Wembley Stadium (London)
1505651400,Sep 17 2017 - 12:30pm,complete,41478,Chelsea,Arsenal,1.95,0.84,0,0,0,0,0,0,"","",5,1,2,1,3,0,12,7,7,3,5,4,11,15,57,43,2.55,50,66,50,29,14,32,61,12.68,3.16,1.84,3.82,4.44,0,0,0,0,0,0,Stamford Bridge (London)
1505660400,Sep 17 2017 - 3:00pm,complete,75042,Manchester United,Everton,2.47,0.79,4,0,4,1,1,0,"4,83,89,90'2","",4,1,1,0,1,0,7,7,3,5,4,2,15,13,50,50,2.61,45,76,50,29,8,34,74,9.79,2.95,1.32,5.43,9.99,0,0,0,0,0,0,Old Trafford (Manchester)
1506166200,Sep 23 2017 - 11:30am,complete,56988,West Ham United,Tottenham Hotspur,1.42,1.79,2,3,5,2,0,2,"65,87","34,38,60",4,3,4,0,3,1,10,7,4,3,6,4,10,19,54,46,2.74,53,82,50,29,19,45,66,10.31,3.58,6.02,4.3,1.58,0,0,0,0,0,0,London Stadium (London)
1506175200,Sep 23 2017 - 2:00pm,complete,20759,Burnley,Huddersfield Town,1.37,0.74,0,0,0,0,0,0,"","",3,4,3,0,2,0,5,6,4,2,1,4,9,12,51,49,2.06,34,69,35,8,6,16,48,8.27,3.42,2.22,3.18,3.77,0,0,0,0,0,0,Turf Moor (Burnley)
1506175200,Sep 23 2017 - 2:00pm,complete,38133,Everton,AFC Bournemouth,1.79,0.95,2,1,3,0,0,0,"77,82","49",4,6,3,0,1,0,6,5,0,4,6,1,12,11,46,54,2.63,50,74,55,29,8,35,58,9.68,2.84,1.6,4.13,6.08,0,0,0,0,0,0,Goodison Park (Liverpool)
1506175200,Sep 23 2017 - 2:00pm,complete,53526,Manchester City,Crystal Palace,2.63,0.95,5,0,5,1,1,0,"44,51,59,79,89","",8,2,3,0,1,0,15,4,6,2,9,2,6,6,63,37,3.14,50,76,66,45,24,32,69,12.79,3.21,1.18,7.85,9.99,0,0,0,0,0,0,Etihad Stadium (Manchester)
1506175200,Sep 23 2017 - 2:00pm,complete,31930,Southampton,Manchester United,1.00,1.79,0,1,1,1,0,1,"","20",8,4,1,0,4,0,9,6,4,4,5,2,11,10,61,39,2.50,50,66,42,32,19,37,69,11.90,3.48,4.93,3.81,1.77,0,0,0,0,0,0,St. Mary's Stadium (Southampton- Hampshire)
1506175200,Sep 23 2017 - 2:00pm,complete,29661,Stoke City,Chelsea,1.05,1.74,0,4,4,2,0,2,"","2,30,77,82",5,0,2,0,2,0,9,4,3,2,6,2,5,13,53,47,2.74,56,79,66,29,6,32,71,8.53,2.94,5.46,3.89,1.69,0,0,0,0,0,0,Bet365 Stadium (Stoke-on-Trent- Staffordshire)
1506175200,Sep 23 2017 - 2:00pm,complete,20372,Swansea City,Watford,1.11,0.74,1,2,3,1,0,1,"56","13,90",5,4,1,0,3,0,7,7,3,3,4,4,8,17,48,52,2.40,35,66,42,24,11,24,71,9.58,2.63,2.3,3.33,3.38,0,0,0,0,0,0,Liberty Stadium (Swansea)
1506184200,Sep 23 2017 - 4:30pm,complete,32004,Leicester City,Liverpool,1.42,1.68,2,3,5,3,1,2,"45'3,69","15,23,68",3,6,3,0,3,0,7,11,4,4,3,7,12,13,48,52,3.00,56,87,58,32,21,42,87,10.94,2.84,4.16,3.8,1.9,0,0,0,0,0,0,King Power Stadium (Leicester- Leicestershire)
1506265200,Sep 24 2017 - 3:00pm,complete,30468,Brighton & Hove Albion,Newcastle United,1.53,0.84,1,0,1,0,0,0,"51","",2,8,2,0,1,0,5,12,4,6,1,6,6,8,51,49,2.56,56,66,45,37,11,32,58,9.16,3.58,2.6,3.16,3.04,0,0,0,0,0,0,The American Express Community Stadium (Falmer- East Sussex)
1506366000,Sep 25 2017 - 7:00pm,complete,59134,Arsenal,West Bromwich Albion,2.47,0.68,2,0,2,1,1,0,"20,67","",7,4,1,0,4,0,13,7,4,3,9,4,7,16,57,43,2.92,42,77,56,32,21,26,69,10.90,3.53,1.32,5.68,9.99,0,0,0,0,0,0,Emirates Stadium (London)
1506771000,Sep 30 2017 - 11:30am,complete,24169,Huddersfield Town,Tottenham Hotspur,1.21,1.79,0,4,4,3,0,3,"","9,16,23,90'1",4,7,1,0,1,0,4,10,2,4,2,6,6,4,41,59,2.50,45,74,45,27,14,42,68,10.79,3.32,8.11,5,1.41,0,0,0,0,0,0,The John Smith's Stadium (Huddersfield- West Yorkshire)
